Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2019-06-28,0.0,12458.864208886755,0.0,12886.910007299046,24694.093648487247,20037.146799721824,0.0,3969.191842949979,523.910792103162,0.0,29685.313381915585,104255.43
2019-07-01,0.0,12557.603429400184,0.0,13040.992626951534,24757.943922950046,20342.372154197874,0.0,3960.558472981627,522.5064408427079,0.0,29944.312760415516,105126.29
2019-07-02,0.0,12685.458061090647,0.0,13017.646775489036,24716.441244549227,20398.800370991765,0.0,4033.4025320895994,529.0015654223082,0.0,30021.51449823761,105402.27
2019-07-03,0.0,12752.550095542081,0.0,13106.361011046529,24844.14179347482,20542.43583192167,0.0,4090.0590225069113,533.2146192036705,0.0,30263.08122626159,106131.84
2019-07-05,0.0,12762.677195081918,0.0,13153.052713971527,24727.615042580215,20509.09188563437,0.0,4067.396426339986,532.6441015041111,0.0,30307.908041771196,106060.39
2019-07-08,0.0,12651.279100143693,0.0,13078.345989291533,24540.852989776533,20355.196748923758,0.0,4084.6631662766913,533.3901631112273,0.0,30347.754100001956,105591.48
2019-07-09,0.0,12732.295896462403,0.0,13115.699351631529,24492.965283929432,20419.31972255318,0.0,4105.167419951528,533.6534789725623,0.0,30390.090536872136,105789.19
2019-07-10,0.0,12872.809402577666,0.0,13059.669308121533,24419.537468297214,20583.4745350445,0.0,4126.750844872409,535.3211460943517,0.0,30472.273031973076,106069.84
2019-07-11,0.0,12876.607064905107,0.0,13134.376032801527,24595.125723069912,20655.292265509455,0.0,4076.0297963083394,535.40891804813,0.0,30556.94590571344,106429.79
2019-07-12,0.0,12970.282735648616,0.0,13216.086512920272,25022.922561970656,20814.31724011042,0.0,4060.9213988637225,531.9858118507731,0.0,30898.127779314313,107514.64
2019-07-15,0.0,12977.878060303496,0.0,13148.383543679027,24927.14715027646,20881.00513268502,0.0,4065.2380838478985,534.0923387414543,0.0,31000.233303530636,107533.98
2019-07-16,0.0,12951.29442401142,0.0,13111.030181339029,25083.580322710317,20688.63621179675,0.0,4058.7630563716343,531.0203203592109,0.0,30957.896866660456,107382.22
2019-07-17,0.0,12825.971567205912,0.0,12998.970094319036,24537.660476053392,20629.643076057688,0.0,4040.417145188885,533.3023911574488,0.0,30676.48408040572,106242.45
2019-07-18,0.0,12714.573472267684,0.0,13106.361011046529,24598.31823679305,20791.23296960383,0.0,4035.0212889586655,537.6032168925896,0.0,30629.16688625669,106412.28
2019-07-19,0.0,12552.539879630263,0.0,13045.661797244034,24726.018785718647,20686.07129285158,0.0,3969.191842949979,529.7915130063136,0.0,30417.48470190578,105926.76
2019-07-22,0.0,12600.6436024445,0.0,13069.00764870653,24751.558895503767,20934.868430533734,0.0,3966.493914834869,528.8260215147513,0.0,30439.898109660586,106291.3
2019-07-23,0.0,12648.747325258733,0.0,13218.421098066521,25058.040212925196,21052.85470201187,0.0,4005.883665315476,525.5784592249513,0.0,30629.16688625669,107138.69
2019-07-24,0.0,12765.20896996688,0.0,13337.484940525263,25157.008138342535,21229.834109229076,0.0,4004.804494069432,525.9295470400648,0.0,30798.512633737417,107818.78
2019-07-25,0.0,12724.700571807523,0.0,13260.443630699017,25115.505459941716,21070.80913462811,0.0,3985.3794116406393,524.4374238258323,0.0,30639.12840081438,107320.4
2019-07-26,0.0,13088.010267799244,0.0,13393.514984035257,25067.617754094616,21181.100649270713,0.0,3997.250295347124,526.5439507165135,0.0,30763.647332785502,108017.69
2019-07-29,0.0,13025.981783117732,0.0,13288.458652454015,25022.922561970656,21170.84097349001,0.0,4015.5962065298727,529.0893373760865,0.0,30619.205371699,107672.09
2019-07-30,0.0,12957.623861223818,0.0,13265.112800991517,25121.890487387995,21029.770431505276,0.0,4051.208857649326,525.2273714098377,0.0,30412.50394462694,107363.34
2019-07-31,0.0,12856.352865825429,0.0,13204.413587189023,24844.14179347482,20716.8503201937,0.0,4038.258802696798,522.5064408427079,0.0,30061.36055646837,106243.88
2019-08-01,0.0,12793.058493701437,0.0,12896.248347884046,24365.264735003835,20611.688643441445,0.0,4049.0505151572384,527.9483019769675,0.0,29655.428838242515,104898.69
2019-08-02,0.0,12674.06507410833,0.0,12882.240837006546,24208.83156256998,20262.85966689739,0.0,4080.3464812925154,528.1238458845244,0.0,29418.84286749738,104055.31
2019-08-05,0.0,12268.981092514776,0.0,12462.015510681578,23535.211166987458,19429.2610097149,0.0,4001.5669803313,520.22437004447,0.0,28629.392838800464,100846.65
2019-08-06,0.0,12441.141784692036,0.0,12653.451492674063,23892.77270397913,19752.44079680719,0.0,4049.0505151572384,526.8950385316269,0.0,29057.73796478113,102373.49
2019-08-07,0.0,12448.737109346916,0.0,12499.368873021574,23864.04008047087,19880.686744066035,0.0,4086.821508768779,528.2993897920811,0.0,29157.353110358024,102465.31
2019-08-08,0.0,12701.914597842888,0.0,12718.819876769057,24282.259378202198,20362.89150575929,0.0,4151.571783531422,534.0923387414543,0.0,29732.63057606461,104484.18
2019-08-09,0.0,12565.198754055064,0.0,12681.466514429061,24077.938499921245,20126.918962803014,0.0,4153.73012602351,534.1801106952327,0.0,29461.17930436756,103600.61
2019-08-12,0.0,12428.48291026724,0.0,12438.669659219078,23742.724558991555,19865.297230394972,0.0,4146.175927301201,533.1268472498921,0.0,29030.34379974748,102184.82
2019-08-13,0.0,12613.302476869298,0.0,12592.752278871567,24026.858280351007,20365.456424704465,0.0,4150.492612285378,533.6534789725623,0.0,29510.98687715601,103793.5
2019-08-14,0.0,12162.646547346467,0.0,12139.842760499101,23295.772637751965,19742.181121026482,0.0,4086.821508768779,529.0893373760865,0.0,28582.07564465144,100538.43
2019-08-15,4381.889318160799,10505.211080499103,4606.947111662517,0.0,20461.755797573103,50560.26909893359,0.0,0.0,0.0,0.0,10046.145474004312,100562.22
2019-08-16,4459.856076337996,10638.381877654225,4670.807405728569,0.0,20857.572448342453,51501.323176917125,0.0,0.0,0.0,0.0,10160.106984616927,102288.05
2019-08-19,4492.145339825521,10806.482719964788,4773.966342296808,0.0,21062.49879944999,52304.180502189796,0.0,0.0,0.0,0.0,10287.217900300227,103726.49
2019-08-20,4441.742587064506,10736.622629653904,4728.936647763053,0.0,20924.945495281918,52040.94859226432,0.0,0.0,0.0,0.0,10289.847781314364,103163.04
2019-08-21,4463.793791397449,10778.102058275992,4762.504238233671,0.0,21062.49879944999,52652.96278284104,0.0,0.0,0.0,0.0,10483.58234935581,104203.44
2019-08-22,4434.6546999574875,10745.355140942766,4740.398751826191,0.0,21090.57090234143,52514.76603013016,0.0,0.0,0.0,0.0,10489.718738388796,104015.46
2019-08-23,4327.548850340329,10457.18226841037,4581.566738379855,0.0,20526.321634223423,50784.016222370235,0.0,0.0,0.0,0.0,10211.82797789496,100888.46
2019-08-26,4340.937081542474,10616.550599432074,4602.034781349744,0.0,20675.103779548073,51501.323176917125,0.0,0.0,0.0,0.0,10311.763456432174,102047.71
2019-08-27,4343.299710578147,10634.015622009794,4571.742077754309,0.0,20574.044209138876,51402.611210695075,0.0,0.0,0.0,0.0,10260.919090158855,101786.63
2019-08-28,4379.526689125127,10662.396283698592,4638.877258695543,0.0,20807.042663137858,51455.257592680166,0.0,0.0,0.0,0.0,10389.78325985158,102332.88
2019-08-29,4435.442242969379,10821.764614720294,4706.012439636777,0.0,21180.401631594053,52356.82688417489,0.0,0.0,0.0,0.0,10544.94623968568,104045.39
2019-08-30,4463.006248385559,10810.848975609219,4706.012439636777,0.0,21264.617940268385,52330.503693182334,0.0,0.0,0.0,0.0,10484.458976360522,104059.45
2019-09-03,4431.504527909924,10710.425095787325,4685.544396666889,0.0,20978.282490775662,51705.32790710936,0.0,0.0,0.0,0.0,10441.504253129613,102952.59
2019-09-04,4479.544651635268,10917.822238897757,4752.6795776081235,0.0,21247.774678533515,52587.15480535966,0.0,0.0,0.0,0.0,10540.563104662117,104525.54
2019-09-05,4488.995167777957,11103.278947394932,4811.627541361403,0.0,21629.555277857147,53692.728827046616,0.0,0.0,0.0,0.0,10743.063942750685,106469.25
2019-09-06,4508.683743075229,11081.556825563892,4834.551749487678,0.0,21668.856221905167,53633.50164731339,0.0,0.0,0.0,0.0,10769.362752892057,106496.51
2019-09-09,4485.844995730394,11109.937487252688,4929.523468867961,0.0,21733.422058555487,53245.234580173325,0.0,0.0,0.0,0.0,10811.440849118253,106315.4
2019-09-10,4528.372318372501,11125.219382008194,4991.746319496422,0.0,21938.348409663027,52988.583467995995,0.0,0.0,0.0,0.0,10771.116006901482,106343.39
