Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-29,2707.943271692046,9793.553165002899,2029.1110151740818,16458.446488709506,18661.044159954006,19597.934960218343,3555.1621565945634,1985.7679227401518,583.6317397151582,6423.092011070914,18204.313109128307
2018-07-02,2693.953552706208,9866.801894961483,1996.2628110589972,16551.36206918773,18692.302190372688,19787.055173718934,3535.836872109095,1974.8404318782373,588.0140342567237,6443.10643967684,18230.964130241497
2018-07-03,2689.2903130442623,9737.923724142462,2012.82044240156,16396.50276839069,18640.205473008216,19552.771924158496,3544.8093256202055,1985.7679227401518,589.6995321573257,6463.120868282765,18137.685556345332
2018-07-05,2712.606511353992,9894.497833667443,2008.5475052808983,16439.863372613858,18726.165056659596,19826.5728302713,3594.5029142971243,2011.8724842436145,593.1828944852368,6529.322439825442,18230.964130241497
2018-07-06,2725.197258441246,10050.913567560081,2021.0992580728416,16514.195836996438,18793.89078923341,20055.210700324256,3604.855745271482,2019.7645609772198,597.5651890268024,6621.696725698946,18374.213368724893
2018-07-09,2750.8450765819493,10110.304429688662,2051.2768764875127,16904.44127500498,19137.729123838926,20210.458636779967,3588.981404444133,2001.5520762073618,579.0247121201792,6665.57451148886,18592.418604089136
2018-07-10,2772.7623029930955,10104.167373935374,2066.4992149798686,16830.1088106224,19200.245184676292,20264.089742101034,3633.1534832680613,2011.2654014179527,584.6430384555194,6694.056582966523,18630.729446939346
2018-07-11,2726.59623033983,10090.507475645802,2021.9004337829654,16749.58197420794,18892.874552225905,20159.650221212647,3620.7300860988316,2004.5874903356716,589.8118986840326,6640.171582873647,18590.75291526956
2018-07-12,2733.1247658665543,10248.883107988682,2025.3721951935029,16780.55383436735,19101.261421683797,20498.372991661472,3617.279142440712,2009.444152940967,590.1489982641531,6716.380368719287,18714.013887918063
2018-07-13,2732.1921179341657,10233.045544754394,2036.4551258502183,16700.02699795289,19215.874199885635,20481.436853139032,3639.365181852676,2003.9804075100094,590.4860978442734,6731.006297315924,18758.98748604657
2018-07-16,2710.274891523019,10203.350113690103,2012.5533838315187,17006.648413531027,19132.51945210248,20424.983058064226,3622.110463562079,1992.445833822433,589.6995321573257,6685.588940094784,18797.29832889678
2018-07-17,2746.181836920003,10203.350113690103,2005.8769195804853,17034.523087674497,19206.75727434685,20577.4083047662,3652.4787677535296,1979.6970944835325,589.3624325772055,6723.308440159799,18817.286594731675
2018-07-18,2747.1144848523923,10175.6343780301,2006.4110367205678,17294.686713013525,19421.656233475303,20549.181407228796,3626.2515959518223,1971.1979349242656,586.3285363561216,6727.927154453475,18802.295395355504
2018-07-19,2728.927850170803,10104.365343475803,2006.4110367205678,17040.71745970638,19413.841725870632,20480.025508262162,3626.9417846834463,1990.9281267582783,591.8344961647551,6690.977440104073,18763.984552505295
2018-07-20,2718.668722914522,10070.710521602941,1999.4675138994933,17077.883691897667,19390.39820305662,20478.61416338529,3647.6474466321624,1973.0191834012514,587.4522016231897,6677.121297223047,18680.700111526578
2018-07-23,2704.2126799624893,10104.365343475803,1991.4557567982529,17300.881085045407,19269.273335184218,20577.4083047662,3626.9417846834463,1968.1625207959562,583.5193731884514,6693.286797250911,18662.37753451126
2018-07-24,2739.1869774270845,10183.553159647243,2016.559262382139,17350.43606130046,19359.140172637934,20693.13858466955,3631.7731058048134,1961.4846097136751,585.4296041424672,6753.330083068688,18607.409803465303
2018-07-25,2759.7052319396466,10256.801889605827,2035.2533622850322,17403.088223571453,19627.438267064965,20947.180662506165,3657.310088874897,1980.9112601348565,587.1151020430692,6832.618011776778,18742.33059785083
2018-07-26,2775.0939228240686,9870.009001516426,2055.8168721782154,17378.310735443927,19794.147762631277,20631.03941008726,3680.0863170184844,1987.8927126299684,593.7447271187709,6818.761868895752,18642.38926867637
2018-07-27,2765.301119533982,9682.690222362882,2046.4698222267684,17424.768525683037,19791.542926763057,20272.557811362254,3684.227449408228,1969.983769272942,591.4973965846348,6769.49558309655,18599.081359367432
2018-07-30,2759.7052319396466,9536.192762445718,2064.362746419538,17430.962897714922,19606.59958011918,19967.70731795831,3680.0863170184844,1968.769603621618,588.0140342567237,6776.423654537063,18452.500743244887
2018-07-31,2784.4204021479604,9593.603929170013,2057.953340738546,17313.26982910917,20020.768483166732,20015.693043771895,3696.6508465774577,2005.8016559869952,594.0818266988913,6844.934583226578,18532.453806584457
2018-08-01,2757.373612108674,9554.010021084292,2030.4463080242883,17313.26982910917,19768.099403949043,20193.52249825753,3664.211976191136,2020.3716438028816,589.2500660504986,6848.013726089028,18449.16936560574
2018-08-02,2737.7880055285004,9617.360274021445,2019.7639652226346,17319.46420114105,19736.84137353036,20447.564576094148,3703.897828259508,2009.444152940967,592.508695324996,6871.877083273016,18564.10189415637
2018-08-03,2764.368471601593,9682.690222362882,2009.8827981311053,17412.379781619275,19752.4703887397,20523.777199445132,3747.7248127176235,2035.8522558572604,598.6888542938705,6914.215297631705,18625.732380480622
2018-08-06,2764.368471601593,9773.756210960039,2017.360438092263,17499.100990065617,19779.82116535605,20645.152858855963,3748.415001449248,2031.6026760776272,599.4754199808181,6924.99229765028,18753.99041958785
2018-08-07,2772.295979026901,9789.593774194329,2031.5145423044535,17579.62782648008,19921.784720174237,20715.72010269947,3727.019150768908,2028.2637205364863,598.35175471375,6924.99229765028,18838.94054938614
2018-08-08,2762.969499703009,9783.65468798147,2016.82632095218,17629.182802735133,19835.825136522857,20769.351208020533,3698.721412772329,2016.122064023248,595.3178584926661,6935.769297668856,18862.260192860183
2018-08-09,2776.492894722652,9837.106463897191,1997.865162479245,17536.26722225691,19729.026865925687,20777.819277281753,3688.368581797971,2019.1574781515576,597.9022886069228,6928.071440512731,18932.219123282306
2018-08-10,2736.8553575961114,9753.95925691718,2009.0816224209814,17331.852945204813,19570.131877964046,20616.925961318564,3675.254995897117,1999.1237449047142,595.430225019373,6900.35915475068,18773.978685422742
2018-08-13,2709.34224359063,9740.101389087178,1984.5122339771783,17158.410528312128,19471.14811497155,20591.5217535349,3673.8746184338693,1999.1237449047142,596.2167907063207,6902.668511897517,18682.36580034615
2018-08-14,2731.259470001776,9809.390728237187,1989.8534053780052,17307.075457077288,19598.785072514507,20721.365482206947,3698.721412772329,2006.408738812657,597.6775555535091,6934.2297262376305,18863.92588167976
2018-08-15,2687.8913411456783,9672.791745341452,1920.4181771672572,17189.38238847154,19505.010981258456,20535.067958460095,3713.905564868054,2024.0141407568533,602.3969496751951,6923.452726219056,18632.39513575892
2018-08-16,2705.1453278948784,9668.832354532882,1934.305222809407,17406.185409587397,19744.65588113503,20614.10327156482,3770.501040861212,2040.4053770497248,609.5884073844308,6989.654297761733,18722.342332015938
2018-08-17,2724.03144852576,9623.299360234303,1939.6463942102334,17443.351641778685,19867.08316694154,20656.443617870926,3798.1085901261667,2059.2249446452447,612.5099370788078,7014.287440661334,18740.664909031257
2018-08-20,2743.3838931228356,9631.218141851446,1952.4652055722177,17499.100990065617,19994.7201244845,20622.57134082604,3796.038023931295,2060.7426517093995,610.3749730713785,7037.381012129709,18858.928815221036
2018-08-21,2754.1093443453115,9698.52778559717,1962.3463726637474,17567.239082416316,20145.800604841468,20645.152858855963,3766.3599084714683,2042.530166939542,605.8803120031062,7035.071654982872,19022.166319539323
2018-08-22,2741.5185972580575,9690.609003980027,1985.8475268273849,17523.878478193146,19958.25242232937,20707.252033438246,3744.2738690595047,2030.0849690134721,601.3856509348338,7042.769512138997,19047.151651832937
2018-08-23,2722.399314644079,9647.055705085733,1975.9663597358553,17437.1572697468,19895.736361492,20749.592379744354,3735.301415548394,2025.8353892338387,601.273284408127,7037.381012129709,19017.1692530806
2018-08-24,2755.5083162438955,9781.674992577184,1991.1886982282117,17486.712246001855,19979.091109275156,20964.116801028606,3730.470094427027,2038.584128572739,603.8577145223836,7068.942226469823,19127.104715172507
2018-08-27,2794.6795294042417,9884.619153600055,2005.7433902954647,17715.904011181476,20221.34084501995,21158.882394036682,3732.5406606218985,2036.7628800957532,599.9248860876453,7095.884726516262,19260.359820738457
2018-08-28,2784.886726114155,9837.799357288692,1997.0639867691211,17706.612453133654,20197.89732220594,21195.57736083531,3721.4976409159167,2061.0461931222303,598.8012208205772,7103.582583672387,19298.67066358867
2018-08-29,2804.4723326943285,9894.517630621485,2009.0816224209814,17703.515267117713,20216.131173283506,21381.87488458216,3724.2583958424125,2058.6178618195822,602.958782308729,7149.769726609138,19516.875898952912
2018-08-30,2773.22862695929,9833.14707308862,2002.9392753100306,17561.044710384434,20067.65552879476,21319.775709999874,3713.905564868054,2047.0832881320061,603.5206149422631,7142.841655168626,19401.94337040228
2018-08-31,2765.301119533982,9738.121693682891,1987.7169368176744,17542.46159428879,20075.470036399427,21331.066469014833,3713.905564868054,2055.582447691273,600.711451774593,7140.532298021788,19478.5650561027
2018-09-04,2745.249188987614,9619.339969425731,1983.7110582670543,17647.765918830777,20078.074872267654,21268.96729443255,3704.2429226253203,2037.3699629214154,603.9700810490904,7089.726440791361,19526.87003187036
2018-09-05,2762.0368517706197,9486.700377338568,1981.3075311366822,17647.765918830777,20203.106993942387,20986.698319058527,3747.7248127176235,2049.208078021823,611.8357379185669,7110.5106551129,19313.66186296484
2018-09-06,2767.632739364955,9425.329819805702,1944.4534484709777,17554.850338352553,20270.8327265162,20837.095762110297,3759.803115521042,2056.1895305169346,614.8696341396507,7113.589797975349,19253.69706546016
2018-09-07,2751.311400548144,9439.187687635704,1944.1863899009363,17542.46159428879,20213.52633741528,20769.351208020533,3751.865945107367,2030.6920518391344,607.8467262204753,7124.366797993925,19252.031376640585
2018-09-10,2753.643020379117,9456.569413285335,1943.6522727608537,17530.072850225028,20317.719772144224,20834.27307235656,3765.3246253740326,2042.2266255267107,611.0491722316193,7102.043012241162,19323.655995882284
2018-09-11,2759.238907973452,9555.989716488579,1962.079314093706,17545.55878030473,20304.69559280311,21009.279837088452,3751.520850741555,2041.0124598753866,609.2513078043103,7099.733655094325,19478.5650561027
2018-09-12,2760.637879872036,9526.294285424288,1971.9604811852355,17387.60229349175,20375.026161245147,20927.421834229986,3793.967457736423,2044.0478740036965,608.5771086440694,7136.683369443725,19516.875898952912
2018-09-13,2771.363331094512,9589.64453836144,1972.494598325318,17362.824805364224,20481.824431842313,21161.705083790424,3789.136136615056,2056.1895305169346,613.5212358191691,7220.59001244549,19536.864164787807
2018-09-14,2770.4306831621225,9577.766365935724,1983.1769411269718,17480.517873969973,20593.83237417593,21150.414324775466,3780.163683103946,2038.584128572739,610.3749730713785,7199.03601240834,19476.899367283128
2018-09-17,2779.7571624860147,9488.680072742854,1986.1145853974265,17424.768525683037,20601.6468817806,20887.90417767762,3793.967457736423,2049.5116194346538,612.1728374986873,7174.402869508739,19233.708799625267
2018-09-18,2783.021430249377,9546.091239467149,2000.0016310395758,17496.00380404968,20789.1950642927,21012.10252684219,3776.7127394458266,2037.9770457470772,610.9368057049124,7213.661941004977,19480.230744922275
