Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,2001 Total,2002,,,,2002 Total,2003,,,,2003 Total,2004,,,,2004 Total,2005,,,,2005 Total,2006,,,,2006 Total,2007,,,,2007 Total,2008,,,,2008 Total,2009,,,,2009 Total,2010,,,,2010 Total,2011,,,,2011 Total,2012,,,,2012 Total,2013,,,,2013 Total,2014,,,,2014 Total,2015,,,,2015 Total,2016,,,,2016 Total,2017,,,,2017 Total,2018,,,,2018 Total,2019,,,,2019 Total,2020,,2020 Total,Grand Total,,
Row Labels,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,,,ETF,% of Portfolio
REAL ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2578,0.2607,0.2536,0.7721,0.2446,0.2608,0.2341,0.288,1.0275,0.3127,0.297,0.3245,0.2865,1.2207,0.1922,0.2872,0.4794,3.4997,XLRE,0.288
TRANSPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,0.2463,0.2471,1.1696,4.0931,5.7561,7.4368,6.9339,7.2103,8.4643,30.0453,10.0058,11.4198,9.6542,11.3783,42.4581,12.5923,12.829,12.1155,13.2121,50.7489,0.1807,0.1751,0.1963,0.1974,0.7495,0.1955,0.1841,0.1528,0.1581,0.6905,0.1532,0.0278,0.0056,0.0058,0.1924,0.006,0.0056,0.0059,0.006,0.0235,0.0055,0.0057,0.0054,0.006,0.0226,0.0054,0.0053,0.0046,0.0043,0.0196,0.0049,0.0049,1.0022,6.3178,7.3298,5.7001,6.3588,5.1698,5.4358,22.6645,5.2866,4.9049,5.1656,4.952,20.3091,4.8086,4.8536,4.7082,4.2145,18.5849,2.9493,0.0033,2.9526,202.5474,XLI,4.952
Utilities,0.5485,,,,0.5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9625,0.9625,0.7496,,,,0.7496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2606,XLU,
UTILITIES AND TELECOMMUNICATIONS,,,0.0832,0.3818,0.465,,,,,,0.256,0.0905,0.0814,,0.4279,,,,,,,,,,,,,,,,,,,,,,0.2187,0.1771,0.3238,0.7196,0.31,0.3813,0.2991,0.2445,1.2349,0.2462,0.274,,,0.5202,,,,,,,,,,,,,,,,0.4957,0.6823,0.6917,0.6417,2.5114,0.6809,0.6381,2.0429,2.0577,5.4196,1.0137,1.0963,1.0229,0.0403,3.1732,0.0373,0.0365,0.0363,0.0286,0.1387,0.0279,0.0265,0.0256,0.0215,0.1015,0.0263,0.0225,0.0216,0.0216,0.092,0.0158,0.0126,0.0284,14.8324,XLU,0.0215
Grand Total,99.9999,99.8338,99.8667,100,399.7004,99.583,99.9999,100.0001,100,399.583,100,100,100,99.9997,399.9997,100,99.9998,100.0001,99.9999,399.9998,99.9998,100,99.9999,100,399.9997,100.0003,100.0001,99.9999,99.9999,400.0002,100.0001,100.0002,100.0002,99.4264,399.4269,99.9999,99.64,100.0002,99.9998,399.6399,99.9998,100,99.9999,100,399.9997,99.9999,100.0001,100.0001,100.0001,400.0002,100,99.9998,100.0002,99.9998,399.9998,100,99.9999,100,99.9998,399.9997,99.9997,100.0001,100.0004,100.0002,400.0004,100.0001,100,99.9999,99.9998,399.9998,99.9998,100.0002,99.9998,100,399.9998,99.9999,99.9998,100.0006,100.0001,400.0004,100.0001,100.0005,100,100.0002,400.0008,99.9999,99.9993,99.9998,100.0002,399.9992,100,99.9999,99.9999,99.9999,399.9997,100,100,200,7798.3491,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Communications,CONSUMER DISCRETIONARY,CONSUMER STAPLES,ENERGY,FINANCE,HEALTH CARE,INDUSTRIALS,INFORMATION TECHNOLOGY,MATERIALS,REAL ESTATE,TRANSPORTS,Utilities,UTILITIES AND TELECOMMUNICATIONS,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
